brand,category,price,product,review_avg_rating,review_count,url
Montblanc,cologne,92,Legend Spirit Eau de Toilette,4.7,94,https://www.ulta.com/legend-spirit-eau-de-toilette?productId=xlsImpprod13821019
Duke Cannon Supply Co,shaving,13.5,Ice Cold After Shave Balm,4.9,92,https://www.ulta.com/ice-cold-after-shave-balm?productId=xlsImpprod16171039
Jergens,body ,7.99,Shea Butter Moisturizer,4.6,92,https://www.ulta.com/shea-butter-moisturizer?productId=xlsImpprod6430371
Clinique,skincare,29.5,Clinique For Men Broad Spectrum SPF 21 Moisturizer,4.5,92,https://www.ulta.com/clinique-men-broad-spectrum-spf-21-moisturizer?productId=prod2140588
Nioxin,hair,40.42,"Diamax Advanced, Hair Thickening & Breakage Protection Treatment For Thinning Hair",4.5,92,https://www.ulta.com/diamax-advanced-hair-thickening-breakage-protection-treatment-thinning-hair?productId=xlsImpprod11131187
Hugo Boss,cologne,87,BOSS Bottled Eau de Toilette,4.7,90,https://www.ulta.com/boss-bottled-eau-de-toilette?productId=xlsImpprod640336
Hugo Boss,cologne,67,HUGO Man Eau de Toilette,4.7,90,https://www.ulta.com/hugo-man-eau-de-toilette?productId=2261
Clinique,shaving,18.5,Clinique For Men Cream Shave,5,88,https://www.ulta.com/clinique-men-cream-shave?productId=prod2140591
Prada,cologne,94,Luna Rossa Eau de Toilette,4.9,87,https://www.ulta.com/luna-rossa-eau-de-toilette?productId=xlsImpprod5200481
Prada,cologne,94,Luna Rossa Sport Eau de Toilette,4.9,87,https://www.ulta.com/luna-rossa-sport-eau-de-toilette?productId=xlsImpprod12821065
Yves Saint Laurent,cologne,74,La Nuit de L'Homme Eau de Toilette,4.7,84,https://www.ulta.com/la-nuit-de-lhomme-eau-de-toilette?productId=xlsImpprod1610131
Ralph Lauren,cologne,90,Polo Blue Eau de Toilette,4.8,83,https://www.ulta.com/polo-blue-eau-de-toilette?productId=xlsImpprod641032
Calvin Klein,cologne,82,Obsession For Men Eau de Toilette,4.7,82,https://www.ulta.com/obsession-men-eau-de-toilette?productId=prod2021224
Shaveworks,shaving,26,The Cool Fix Targeted Gel Lotion,4.7,82,https://www.ulta.com/cool-fix-targeted-gel-lotion?productId=xlsImpprod5220077
Paco Rabanne,cologne,92,1 Million Eau de Toliette,4.7,80,https://www.ulta.com/1-million-eau-de-toliette?productId=xlsImpprod5580085
Clinique,skincare,29.5,Clinique For Men Oil-Control Mattifying Moisturizer,4.5,80,https://www.ulta.com/clinique-men-oil-control-mattifying-moisturizer?productId=xlsImpprod6470043
Proactiv,skincare,35,Deep Cleansing Wash,4.2,77,https://www.ulta.com/deep-cleansing-wash?productId=xlsImpprod14651035
Dior,cologne,120,Sauvage Eau de Parfum,5,74,https://www.ulta.com/sauvage-eau-de-parfum?productId=xlsImpprod17941005
Jean Paul Gaultier,cologne,94,Le Male Eau de Toilette,4.9,72,https://www.ulta.com/le-male-eau-de-toilette?productId=xlsImpprod2980133
Versace,cologne,88,Dylan Blue Eau de Toilette,4.9,72,https://www.ulta.com/dylan-blue-eau-de-toilette?productId=xlsImpprod14531023
